Biological Process	Number of genes
regulation of dendritic spine development	3
lens development in camera-type eye	3
positive regulation of phosphatidylinositol 3-kinase signaling	3
regulation of cardiac muscle tissue growth	3
cellular response to retinoic acid	3
snRNA transcription	3
signal transduction in absence of ligand	3
snRNA transcription by RNA polymerase II	3
dendritic spine organization	3
extrinsic apoptotic signaling pathway in absence of ligand	3
regulation of nucleotide catabolic process	3
regulation of cell killing	3
regulation of neurological system process	3
cardiac muscle cell action potential	3
cellular senescence	3
ribosomal small subunit biogenesis	3
negative regulation of wound healing	3
neuron projection organization	3
ubiquitin-dependent ERAD pathway	3
regulation of ATPase activity	3
positive regulation of blood vessel endothelial cell migration	3
response to estrogen	3
purine ribonucleoside metabolic process	3
response to anesthetic	3
regulation of smoothened signaling pathway	3
monoamine transport	3
DNA duplex unwinding	3
regulation of carbohydrate catabolic process	3
regulation of heart growth	3
regulation of oxidative stress-induced cell death	3
regulation of ATP biosynthetic process	3
regulation of calcium ion-dependent exocytosis	3
cellular response to UV	3
positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	3
regulation of translational initiation	3
purine nucleoside metabolic process	3
negative regulation of blood vessel endothelial cell migration	3
regulation of amine transport	3
regulation of protein tyrosine kinase activity	3
negative regulation of protein modification by small protein conjugation or removal	3
vasculogenesis	3
regulation of glucose transmembrane transport	3
protein localization to chromosome	3
regulation of carbohydrate biosynthetic process	3
signal transduction involved in DNA integrity checkpoint	3
signal transduction involved in DNA damage checkpoint	3
regulation of transcription from RNA polymerase II promoter in response to hypoxia	3
signal transduction involved in cell cycle checkpoint	3
positive regulation of lymphocyte mediated immunity	3
chaperone-mediated protein folding	3
T cell mediated immunity	3
positive regulation of adaptive immune response	3
positive regulation of exocytosis	3
muscle tissue morphogenesis	3
cytoskeleton-dependent cytokinesis	3
smooth muscle cell migration	3
extrinsic apoptotic signaling pathway via death domain receptors	3
adherens junction assembly	3
positive regulation of protein targeting to mitochondrion	3
autophagy of mitochondrion	3
leukocyte homeostasis	3
mitochondrion disassembly	3
regulation of leukocyte apoptotic process	3
regulation of cellular response to oxidative stress	3
negative regulation of response to wounding	3
positive regulation of smooth muscle cell proliferation	3
ceramide metabolic process	3
positive regulation of protein binding	3
positive regulation of myeloid cell differentiation	3
muscle organ morphogenesis	3
iron ion homeostasis	3
regulation of coenzyme metabolic process	3
embryonic placenta development	3
cell-substrate junction assembly	3
adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway	3
oligodendrocyte differentiation	3
retinoid metabolic process	3
regulation of ATP metabolic process	3
cell death in response to oxidative stress	3
regulation of response to drug	3
protein N-linked glycosylation	3
positive regulation of reactive oxygen species metabolic process	3
B cell proliferation	3
regulation of protein targeting to mitochondrion	3
negative regulation of endothelial cell migration	3
cerebellum development	3
glial cell development	3
ERAD pathway	3
cardiac muscle tissue growth	3
regulation of response to oxidative stress	3
regulation of glucose metabolic process	3
regulation of cytokine biosynthetic process	3
positive regulation of T cell proliferation	3
negative regulation of developmental growth	3
snRNA metabolic process	3
epithelial cell apoptotic process	3
positive regulation of leukocyte mediated immunity	3
negative regulation of T cell activation	3
regulation of nucleocytoplasmic transport	3
heart growth	3
ncRNA transcription	3
limbic system development	3
phosphatidylinositol phosphorylation	3
postsynapse organization	3
adenylate cyclase-activating G-protein coupled receptor signaling pathway	3
reactive oxygen species biosynthetic process	3
regulation of gliogenesis	3
cytokine biosynthetic process	3
organelle disassembly	3
positive regulation of protein ubiquitination	3
cytokine metabolic process	3
glycosaminoglycan biosynthetic process	3
dicarboxylic acid metabolic process	3
regulation of lipid transport	3
regulation of phosphoprotein phosphatase activity	3
regulation of transforming growth factor beta receptor signaling pathway	3
Wnt signaling pathway, planar cell polarity pathway	3
cell aging	3
negative regulation of epithelial cell migration	3
regulation of establishment of planar polarity	3
negative regulation of leukocyte cell-cell adhesion	3
regulation of cellular response to transforming growth factor beta stimulus	3
aminoglycan biosynthetic process	3
myelination	3
regulation of cell cycle arrest	3
lipid phosphorylation	3
ensheathment of neurons	3
axon ensheathment	3
cellular hormone metabolic process	3
calcium ion regulated exocytosis	3
female sex differentiation	3
positive regulation of cytokine secretion	3
negative regulation of G1/S transition of mitotic cell cycle	3
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	3
peptidyl-lysine methylation	3
centrosome cycle	3
positive regulation of B cell activation	3
regulation of cellular carbohydrate metabolic process	3
negative regulation of protein secretion	3
lipid homeostasis	3
regulation of DNA replication	3
regulation of generation of precursor metabolites and energy	3
cellular response to glucose stimulus	3
stimulatory C-type lectin receptor signaling pathway	3
negative regulation of cell cycle G1/S phase transition	3
positive regulation of inflammatory response	3
cellular response to hexose stimulus	3
positive regulation of protein modification by small protein conjugation or removal	3
regulation of humoral immune response	3
response to estradiol	3
cellular response to monosaccharide stimulus	3
glycolipid metabolic process	3
liposaccharide metabolic process	3
regulation of response to biotic stimulus	3
regulation of protein dephosphorylation	3
microtubule organizing center organization	3
adherens junction organization	3
negative regulation of inflammatory response	3
response to ethanol	3
positive regulation of endocytosis	3
oxidative phosphorylation	3
histone methylation	3
cellular response to carbohydrate stimulus	3
translational elongation	3
regulation of wound healing	3
cellular glucose homeostasis	3
learning	3
liver development	3
regulation of lipid localization	3
neurotransmitter metabolic process	3
hepaticobiliary system development	3
transition metal ion homeostasis	3
negative regulation of protein serine/threonine kinase activity	3
response to glucocorticoid	3
sensory perception of sound	3
regulation of acute inflammatory response	3
protein targeting to mitochondrion	3
DNA damage checkpoint	3
regulation of plasma membrane bounded cell projection assembly	3
response to corticosteroid	3
regulation of cell projection assembly	3
regulation of endothelial cell proliferation	3
DNA integrity checkpoint	3
regulation of phosphatase activity	3
regulation of cytokine-mediated signaling pathway	3
regulation of cytokine secretion	3
negative regulation of MAPK cascade	3
JAK-STAT cascade	3
regulation of G1/S transition of mitotic cell cycle	3
viral transcription	3
STAT cascade	3
Fc-epsilon receptor signaling pathway	3
regulation of response to cytokine stimulus	3
viral gene expression	3
myeloid leukocyte differentiation	3
regulation of cell cycle G1/S phase transition	3
regulation of neuron apoptotic process	3
translational initiation	3
cytokine secretion	3
regulation of dephosphorylation	3
endosomal transport	3
epithelial cell development	3
response to nutrient	3
tissue homeostasis	3
neuron apoptotic process	3
cell cycle checkpoint	3
T cell differentiation	3
negative regulation of cellular catabolic process	3
Fc receptor signaling pathway	3
positive regulation of T cell chemotaxis	3
regulation of T cell chemotaxis	3
positive regulation of lymphocyte chemotaxis	3
regulation of lymphocyte chemotaxis	3
T cell chemotaxis	3
positive regulation of T cell migration	3
positive regulation of lymphocyte migration	3
regulation of T cell migration	3
regulation of lymphocyte migration	3
T cell migration	3
lymphocyte chemotaxis	3
monocyte chemotaxis	3
B cell activation involved in immune response	3
myeloid cell development	3
lymphocyte migration	3
actin-mediated cell contraction	3
mRNA export from nucleus	3
mRNA-containing ribonucleoprotein complex export from nucleus	3
ribonucleoprotein complex export from nucleus	3
ribonucleoprotein complex localization	3
RNA export from nucleus	3
cell wall macromolecule metabolic process	3
cell wall organization or biogenesis	3
activation of adenylate cyclase activity	3
negative regulation of NF-kappaB transcription factor activity	3
double-strand break repair via homologous recombination	3
recombinational repair	3
negative regulation of myeloid leukocyte mediated immunity	2
cytidine catabolic process	2
response to sterol depletion	2
receptor guanylyl cyclase signaling pathway	2
cytidine deamination	2
ADP transport	2
cranial nerve structural organization	2
negative regulation of cell adhesion mediated by integrin	2
cytidine metabolic process	2
alditol phosphate metabolic process	2
regulation of oocyte development	2
epithelial cell proliferation involved in lung morphogenesis	2
cardiac muscle cell fate commitment	2
caveolin-mediated endocytosis	2
SA node cell to atrial cardiac muscle cell communication	2
macromolecule depalmitoylation	2
regulation of oogenesis	2
cellular response to leucine starvation	2
regulation of platelet-derived growth factor receptor-beta signaling pathway	2
UDP-N-acetylglucosamine biosynthetic process	2
nucleoside monophosphate catabolic process	2
negative regulation of cell fate commitment	2
negative regulation of fibroblast migration	2
ATP transport	2
synaptic vesicle maturation	2
neuron remodeling	2
ventral spinal cord interneuron specification	2
negative regulation of mast cell activation	2
vitamin D biosynthetic process	2
positive regulation of vascular permeability	2
negative regulation of leukocyte degranulation	2
regulation of single stranded viral RNA replication via double stranded DNA intermediate	2
negative regulation of natural killer cell mediated cytotoxicity	2
cellular ketone body metabolic process	2
regulation of nuclear-transcribed mRNA poly(A) tail shortening	2
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	2
negative regulation of ryanodine-sensitive calcium-release channel activity	2
cardiac muscle cell myoblast differentiation	2
cell fate specification involved in pattern specification	2
cardiac neural crest cell differentiation involved in heart development	2
cardiac neural crest cell development involved in heart development	2
metanephric tubule morphogenesis	2
microtubule anchoring at microtubule organizing center	2
negative regulation of inclusion body assembly	2
negative regulation of anion transmembrane transport	2
positive regulation of gonad development	2
positive regulation of acrosome reaction	2
urea cycle	2
complement activation, lectin pathway	2
negative regulation of natural killer cell mediated immunity	2
regulation of cell communication by electrical coupling	2
positive regulation of macrophage chemotaxis	2
negative regulation of centrosome duplication	2
regulation of skeletal muscle satellite cell proliferation	2
cGMP-mediated signaling	2
regulation of vitamin metabolic process	2
positive regulation of catecholamine secretion	2
maintenance of apical/basal cell polarity	2
histone-serine phosphorylation	2
single stranded viral RNA replication via double stranded DNA intermediate	2
maintenance of epithelial cell apical/basal polarity	2
pyrimidine ribonucleoside catabolic process	2
positive regulation of collateral sprouting	2
positive regulation of digestive system process	2
cartilage morphogenesis	2
mitochondrial tRNA processing	2
pre-mRNA cleavage required for polyadenylation	2
neurotransmitter receptor internalization	2
ketone body metabolic process	2
Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation	2
positive regulation of fertilization	2
meiotic spindle organization	2
cellular response to nitrogen starvation	2
carnitine metabolic process	2
response to light intensity	2
skeletal muscle satellite cell proliferation	2
regulation of skeletal muscle cell proliferation	2
platelet-derived growth factor receptor-beta signaling pathway	2
positive regulation of renal sodium excretion	2
regulation of cell fate specification	2
cellular response to nitrogen levels	2
amino sugar biosynthetic process	2
peripheral nervous system neuron differentiation	2
peripheral nervous system neuron development	2
white fat cell differentiation	2
chloride ion homeostasis	2
fatty acid homeostasis	2
nucleotide-binding oligomerization domain containing 2 signaling pathway	2
tRNA threonylcarbamoyladenosine metabolic process	2
planar cell polarity pathway involved in neural tube closure	2
positive regulation of macrophage migration	2
cardiac left ventricle morphogenesis	2
mesodermal cell fate specification	2
skeletal muscle cell proliferation	2
urea metabolic process	2
hemoglobin metabolic process	2
spinal cord association neuron differentiation	2
pre-miRNA processing	2
negative regulation of intracellular estrogen receptor signaling pathway	2
lipoprotein catabolic process	2
fat-soluble vitamin biosynthetic process	2
hormone catabolic process	2
negative regulation of DNA damage response, signal transduction by p53 class mediator	2
negative regulation of centrosome cycle	2
adenine nucleotide transport	2
phospholipase C-activating dopamine receptor signaling pathway	2
cellular response to ethanol	2
ammonium transmembrane transport	2
regulation of establishment of planar polarity involved in neural tube closure	2
positive regulation of ERAD pathway	2
negative regulation of leukocyte mediated cytotoxicity	2
growth plate cartilage development	2
tRNA splicing, via endonucleolytic cleavage and ligation	2
negative regulation of peptidyl-threonine phosphorylation	2
purine ribonucleotide transport	2
cell migration in hindbrain	2
positive regulation of icosanoid secretion	2
modulation by host of viral genome replication	2
lateral mesoderm development	2
negative regulation of release of sequestered calcium ion into cytosol	2
negative regulation of focal adhesion assembly	2
JAK-STAT cascade involved in growth hormone signaling pathway	2
ventral spinal cord interneuron fate commitment	2
cell fate commitment involved in pattern specification	2
otic vesicle development	2
nitrogen cycle metabolic process	2
metanephric mesenchyme development	2
establishment of planar polarity involved in neural tube closure	2
sodium ion import across plasma membrane	2
regulation of production of miRNAs involved in gene silencing by miRNA	2
positive regulation of interleukin-8 secretion	2
mitochondrial RNA processing	2
epithelial to mesenchymal transition involved in endocardial cushion formation	2
UDP-N-acetylglucosamine metabolic process	2
chemosensory behavior	2
positive regulation of striated muscle cell apoptotic process	2
positive regulation of cardiac muscle cell apoptotic process	2
purine nucleotide transport	2
RNA interference	2
chondrocyte proliferation	2
negative regulation of fatty acid biosynthetic process	2
regulation of developmental pigmentation	2
anatomical structure arrangement	2
detection of light stimulus involved in visual perception	2
detection of light stimulus involved in sensory perception	2
sulfation	2
atrial septum morphogenesis	2
regulation of transcription involved in cell fate commitment	2
retina vasculature development in camera-type eye	2
renal absorption	2
metanephric glomerulus development	2
epithelial cell-cell adhesion	2
regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	2
positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	2
fatty acid transmembrane transport	2
negative regulation of adherens junction organization	2
positive regulation of fatty acid transport	2
regulation of clathrin-dependent endocytosis	2
N-acetylglucosamine metabolic process	2
amino-acid betaine metabolic process	2
negative regulation of platelet-derived growth factor receptor signaling pathway	2
preassembly of GPI anchor in ER membrane	2
ventral spinal cord interneuron differentiation	2
central nervous system myelination	2
axon ensheathment in central nervous system	2
regulation of icosanoid secretion	2
negative regulation of organic acid transport	2
histone H2A monoubiquitination	2
melanin biosynthetic process	2
positive regulation by host of viral transcription	2
regulation of centriole replication	2
positive regulation of alpha-beta T cell proliferation	2
negative regulation of digestive system process	2
regulation of production of small RNA involved in gene silencing by RNA	2
cellular response to prostaglandin E stimulus	2
positive regulation of long-term synaptic potentiation	2
midbrain dopaminergic neuron differentiation	2
glycerol metabolic process	2
cAMP catabolic process	2
melanin metabolic process	2
maintenance of cell polarity	2
maintenance of gastrointestinal epithelium	2
negative regulation of cell killing	2
camera-type eye photoreceptor cell differentiation	2
positive regulation of dendritic spine morphogenesis	2
mesodermal cell fate commitment	2
desensitization of G-protein coupled receptor protein signaling pathway	2
negative regulation of calcium ion transport into cytosol	2
negative adaptation of signaling pathway	2
negative regulation of chondrocyte differentiation	2
toll-like receptor 3 signaling pathway	2
negative regulation of translational initiation	2
cell migration involved in heart development	2
renal vesicle morphogenesis	2
nephron tubule formation	2
protein transport within plasma membrane	2
neurotransmitter receptor transport	2
regulation of mitotic spindle assembly	2
negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	2
negative regulation of morphogenesis of an epithelium	2
regulation of gonad development	2
cardiac right ventricle morphogenesis	2
atrial septum development	2
protein O-linked glycosylation via threonine	2
retinal ganglion cell axon guidance	2
regulation of urine volume	2
renal sodium excretion	2
regulation of renal sodium excretion	2
ribonucleoside catabolic process	2
negative regulation of calcium-mediated signaling	2
regulation of acrosome reaction	2
branch elongation of an epithelium	2
cellular response to vitamin D	2
renal vesicle development	2
negative regulation of cell junction assembly	2
negative regulation of CD4-positive, alpha-beta T cell activation	2
regulation of bicellular tight junction assembly	2
acute inflammatory response to antigenic stimulus	2
endocardial cushion formation	2
protein targeting to lysosome	2
spermatid nucleus differentiation	2
cyclic nucleotide catabolic process	2
response to muscle activity	2
protein O-linked glycosylation via serine	2
alditol metabolic process	2
adaptation of signaling pathway	2
regulation of chromatin silencing	2
mitochondrial ATP synthesis coupled proton transport	2
regulation of alpha-beta T cell proliferation	2
regulation of collateral sprouting	2
cardiac myofibril assembly	2
presynapse organization	2
negative regulation of regulated secretory pathway	2
endochondral bone growth	2
NLS-bearing protein import into nucleus	2
hyperosmotic response	2
cobalamin metabolic process	2
response to salt stress	2
dorsal spinal cord development	2
positive regulation of interleukin-4 production	2
pyrimidine nucleoside catabolic process	2
folic acid metabolic process	2
smooth muscle tissue development	2
negative regulation of lipid catabolic process	2
positive regulation of transcription initiation from RNA polymerase II promoter	2
branching involved in salivary gland morphogenesis	2
lung epithelial cell differentiation	2
cellular response to prostaglandin stimulus	2
neuronal stem cell population maintenance	2
regulation of postsynaptic membrane neurotransmitter receptor levels	2
negative regulation of protein localization to plasma membrane	2
regulation of endothelial cell chemotaxis	2
glutamine metabolic process	2
cell volume homeostasis	2
negative regulation of microtubule depolymerization	2
vitamin biosynthetic process	2
miRNA metabolic process	2
L-glutamate transmembrane transport	2
spinal cord dorsal/ventral patterning	2
vitamin D metabolic process	2
benzene-containing compound metabolic process	2
positive regulation of macrophage activation	2
regulation of excretion	2
growth hormone receptor signaling pathway	2
lung cell differentiation	2
glomerulus vasculature development	2
metanephric tubule development	2
membrane depolarization during cardiac muscle cell action potential	2
regulation of execution phase of apoptosis	2
regulation of bone development	2
positive regulation of transcription regulatory region DNA binding	2
oocyte maturation	2
B cell apoptotic process	2
glycogen catabolic process	2
DNA ligation	2
regulation of platelet-derived growth factor receptor signaling pathway	2
forebrain regionalization	2
exogenous drug catabolic process	2
negative regulation of myoblast differentiation	2
alpha-beta T cell proliferation	2
negative regulation of gene silencing	2
cellular response to growth hormone stimulus	2
bone growth	2
negative regulation of anion transport	2
regulation of anion transmembrane transport	2
negative regulation of protein localization to cell periphery	2
regulation of AMPA receptor activity	2
regulation of interleukin-8 secretion	2
outflow tract septum morphogenesis	2
gamma-aminobutyric acid signaling pathway	2
glucan catabolic process	2
epithelial structure maintenance	2
spinal cord patterning	2
histone H2A ubiquitination	2
microtubule anchoring	2
negative regulation of embryonic development	2
monovalent inorganic anion homeostasis	2
negative regulation of cartilage development	2
renal system vasculature development	2
kidney vasculature development	2
regulation of spindle assembly	2
negative regulation of potassium ion transmembrane transporter activity	2
glucosamine-containing compound metabolic process	2
response to amphetamine	2
positive regulation of microtubule polymerization	2
plasminogen activation	2
viral RNA genome replication	2
cellular polysaccharide catabolic process	2
modulation by host of viral process	2
eosinophil chemotaxis	2
regulation of ryanodine-sensitive calcium-release channel activity	2
regulation of androgen receptor signaling pathway	2
regulation of the force of heart contraction	2
adult walking behavior	2
entrainment of circadian clock	2
regulation of microtubule depolymerization	2
positive regulation of protein autophosphorylation	2
regulation of interleukin-4 production	2
protein refolding	2
modulation by host of viral transcription	2
positive regulation of skeletal muscle tissue development	2
collateral sprouting	2
modulation by host of symbiont transcription	2
protein localization to chromosome, telomeric region	2
metanephric epithelium development	2
regulation of neuroblast proliferation	2
negative regulation of dendrite development	2
mitochondrial genome maintenance	2
polysaccharide catabolic process	2
energy coupled proton transport, down electrochemical gradient	2
ATP synthesis coupled proton transport	2
regulation of cGMP metabolic process	2
protein transport within lipid bilayer	2
negative regulation of alpha-beta T cell activation	2
modulation of transcription in other organism involved in symbiotic interaction	2
interleukin-8 secretion	2
regulation of fertilization	2
walking behavior	2
negative regulation of potassium ion transmembrane transport	2
regulation of ERAD pathway	2
histone monoubiquitination	2
keratan sulfate biosynthetic process	2
positive regulation of microtubule polymerization or depolymerization	2
positive regulation of organic acid transport	2
regulation of mast cell activation involved in immune response	2
embryonic hindlimb morphogenesis	2
endothelial cell chemotaxis	2
regulation of mast cell degranulation	2
regulation of regulatory T cell differentiation	2
negative regulation of exocytosis	2
chaperone cofactor-dependent protein refolding	2
potassium ion homeostasis	2
regulation of transcription initiation from RNA polymerase II promoter	2
lens fiber cell differentiation	2
cellular response to vitamin	2
positive regulation of DNA-templated transcription, initiation	2
positive regulation of CD4-positive, alpha-beta T cell activation	2
respiratory system process	2
centriole replication	2
negative regulation of interferon-gamma production	2
positive regulation of interleukin-10 production	2
regulation of DNA damage response, signal transduction by p53 class mediator	2
regulation of isotype switching	2
positive regulation of G-protein coupled receptor protein signaling pathway	2
regulation of viral entry into host cell	2
positive regulation of filopodium assembly	2
eosinophil migration	2
cardiac atrium morphogenesis	2
folic acid-containing compound metabolic process	2
nucleoside catabolic process	2
positive regulation of protein import into nucleus	2
regulatory T cell differentiation	2
positive regulation of amine transport	2
regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	2
positive regulation of T cell mediated immunity	2
GPI anchor biosynthetic process	2
positive regulation of muscle cell apoptotic process	2
positive regulation of interleukin-12 production	2
cristae formation	2
eye photoreceptor cell development	2
GTP metabolic process	2
cardiac epithelial to mesenchymal transition	2
cellular response to osmotic stress	2
cell-cell signaling involved in cardiac conduction	2
protein palmitoylation	2
negative regulation of microtubule polymerization or depolymerization	2
interleukin-4 production	2
negative regulation of intracellular steroid hormone receptor signaling pathway	2
embryonic forelimb morphogenesis	2
pyrimidine ribonucleoside metabolic process	2
negative regulation of fibroblast proliferation	2
placenta blood vessel development	2
cellular response to alkaloid	2
positive regulation of cell migration involved in sprouting angiogenesis	2
receptor localization to synapse	2
centriole assembly	2
regulation of renal system process	2
regulation of cardiac muscle cell action potential	2
regulation of long-term synaptic potentiation	2
T cell cytokine production	2
GPI anchor metabolic process	2
protein targeting to vacuole	2
salivary gland morphogenesis	2
long-term memory	2
vascular endothelial growth factor signaling pathway	2
keratan sulfate metabolic process	2
positive regulation of viral genome replication	2
regulation of sensory perception of pain	2
regulation of sensory perception	2
cardiac atrium development	2
regulation of myelination	2
positive regulation of interleukin-1 beta production	2
cell-cell adhesion mediated by cadherin	2
spleen development	2
cell fate commitment involved in formation of primary germ layer	2
extracellular matrix assembly	2
negative regulation of organelle assembly	2
positive regulation of stem cell proliferation	2
hyaluronan metabolic process	2
response to vitamin D	2
negative regulation of potassium ion transport	2
positive regulation of cyclin-dependent protein serine/threonine kinase activity	2
positive regulation of calcium-mediated signaling	2
negative chemotaxis	2
head morphogenesis	2
response to growth hormone	2
negative regulation of cell-matrix adhesion	2
acrosome reaction	2
peptide hormone processing	2
hindlimb morphogenesis	2
cellular response to glucose starvation	2
regulation of natural killer cell mediated cytotoxicity	2
pteridine-containing compound metabolic process	2
phospholipid dephosphorylation	2
regulation of dendritic spine morphogenesis	2
nucleotide-binding oligomerization domain containing signaling pathway	2
cellular response to cadmium ion	2
dopaminergic neuron differentiation	2
pyrimidine-containing compound catabolic process	2
regulation of autophagosome assembly	2
regulation of receptor internalization	2
salivary gland development	2
response to amine	2
nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	2
dopamine metabolic process	2
positive regulation of glial cell differentiation	2
negative regulation of intracellular protein transport	2
regulation of DNA-templated transcription, initiation	2
spliceosomal snRNP assembly	2
protein peptidyl-prolyl isomerization	2
binding of sperm to zona pellucida	2
negative regulation of DNA replication	2
regulation of centrosome duplication	2
oligodendrocyte development	2
neural tube patterning	2
regulation of mast cell activation	2
cellular component maintenance	2
positive regulation of mRNA catabolic process	2
clathrin-dependent endocytosis	2
glycosyl compound catabolic process	2
nuclear-transcribed mRNA poly(A) tail shortening	2
regulation of natural killer cell mediated immunity	2
microtubule depolymerization	2
serine family amino acid metabolic process	2
oligosaccharide biosynthetic process	2
negative regulation of gliogenesis	2
cortical actin cytoskeleton organization	2
intraciliary transport involved in cilium assembly	2
neuron maturation	2
regulation of macrophage activation	2
phenol-containing compound biosynthetic process	2
negative regulation of G0 to G1 transition	2
cellular response to epidermal growth factor stimulus	2
regulation of cardiac muscle cell contraction	2
inner mitochondrial membrane organization	2
negative regulation of protein processing	2
forelimb morphogenesis	2
regulation of vacuole organization	2
regulation of smooth muscle cell differentiation	2
negative regulation of protein maturation	2
somatic recombination of immunoglobulin genes involved in immune response	2
somatic diversification of immunoglobulins involved in immune response	2
positive regulation of response to biotic stimulus	2
glutamate secretion	2
positive regulation of B cell proliferation	2
regulation of protein autophosphorylation	2
icosanoid secretion	2
regulation of protein oligomerization	2
photoreceptor cell development	2
isotype switching	2
regulation of filopodium assembly	2
negative regulation of cell migration involved in sprouting angiogenesis	2
regulation of glutamate receptor signaling pathway	2
positive regulation of anion transport	2
inflammatory response to antigenic stimulus	2
ovulation cycle process	2
protein destabilization	2
positive regulation of interleukin-1 production	2
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	2
regulation of leukocyte degranulation	2
positive regulation of glucose import	2
regulation of meiotic cell cycle	2
selective autophagy	2
negative regulation of response to endoplasmic reticulum stress	2
fat-soluble vitamin metabolic process	2
ER-nucleus signaling pathway	2
endocrine pancreas development	2
regulation of microtubule polymerization	2
regulation of interleukin-10 production	2
regulation of G0 to G1 transition	2
mast cell activation involved in immune response	2
regulation of myeloid leukocyte mediated immunity	2
axon regeneration	2
mast cell degranulation	2
multi-organism cellular process	2
negative regulation of innate immune response	2
icosanoid transport	2
fatty acid derivative transport	2
negative regulation of mRNA catabolic process	2
regulation of actin filament-based movement	2
regulation of CD4-positive, alpha-beta T cell activation	2
protein import into nucleus, translocation	2
positive regulation of cytokine-mediated signaling pathway	2
somatic recombination of immunoglobulin gene segments	2
histone ubiquitination	2
negative regulation of epithelial cell differentiation	2
negative regulation of TOR signaling	2
interleukin-10 production	2
G0 to G1 transition	2
genitalia development	2
synaptic transmission, GABAergic	2
mammary gland morphogenesis	2
blood vessel endothelial cell proliferation involved in sprouting angiogenesis	2
mast cell mediated immunity	2
response to cold	2
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	2
cerebellar cortex development	2
response to nicotine	2
interleukin-12-mediated signaling pathway	2
cellular response to interleukin-12	2
regulation of neurotransmitter receptor activity	2
pyrimidine nucleoside metabolic process	2
positive regulation of glucose transmembrane transport	2
positive regulation of receptor-mediated endocytosis	2
regulation of catecholamine secretion	2
positive regulation of stress fiber assembly	2
retina morphogenesis in camera-type eye	2
labyrinthine layer development	2
T cell apoptotic process	2
cellular response to virus	2
positive regulation of regulated secretory pathway	2
regulation of transcription regulatory region DNA binding	2
negative regulation of endocytosis	2
neuromuscular process controlling balance	2
response to interleukin-12	2
regulation of substrate adhesion-dependent cell spreading	2
negative regulation of leukocyte apoptotic process	2
regulation of sodium ion transmembrane transporter activity	2
regulation of cardiac muscle cell apoptotic process	2
cortical cytoskeleton organization	2
intraciliary transport	2
regulation of protein import into nucleus	2
regulation of myoblast differentiation	2
positive regulation of alpha-beta T cell activation	2
positive regulation of response to cytokine stimulus	2
inorganic cation import across plasma membrane	2
inorganic ion import across plasma membrane	2
cellular response to nerve growth factor stimulus	2
positive regulation of extrinsic apoptotic signaling pathway	2
negative regulation of blood coagulation	2
social behavior	2
response to cocaine	2
catecholamine secretion	2
intraspecies interaction between organisms	2
dendritic spine morphogenesis	2
bicellular tight junction assembly	2
cellular response to cAMP	2
negative regulation of hemostasis	2
negative regulation of RNA catabolic process	2
NAD biosynthetic process	2
regulation of striated muscle cell apoptotic process	2
synaptic vesicle recycling	2
platelet-derived growth factor receptor signaling pathway	2
regulation of lipid catabolic process	2
regulation of T cell mediated immunity	2
postreplication repair	2
DNA replication-independent nucleosome assembly	2
cardiac muscle cell apoptotic process	2
peptidyl-tyrosine autophosphorylation	2
positive regulation of fibroblast proliferation	2
regulation of insulin secretion involved in cellular response to glucose stimulus	2
cellular response to fatty acid	2
regulation of action potential	2
guanosine-containing compound metabolic process	2
response to nerve growth factor	2
morphogenesis of an epithelial sheet	2
peptidyl-proline modification	2
lipopolysaccharide-mediated signaling pathway	2
DNA replication-independent nucleosome organization	2
sperm-egg recognition	2
pigment biosynthetic process	2
regulation of focal adhesion assembly	2
regulation of cell-substrate junction assembly	2
striated muscle cell apoptotic process	2
positive regulation of lipid transport	2
regulation of centrosome cycle	2
regulation of neurotransmitter secretion	2
regulation of lymphocyte apoptotic process	2
negative regulation of reactive oxygen species metabolic process	2
somatic diversification of immune receptors via germline recombination within a single locus	2
endosome to lysosome transport	2
somatic cell DNA recombination	2
somatic diversification of immunoglobulins	2
neuron projection regeneration	2
cytoplasmic microtubule organization	2
regulation of cyclase activity	2
negative regulation of coagulation	2
positive regulation of actin filament bundle assembly	2
histone exchange	2
mast cell activation	2
regulation of adherens junction organization	2
spliceosomal complex assembly	2
regulation of interleukin-1 beta production	2
filopodium assembly	2
intracellular transport of virus	2
regulation of postsynapse organization	2
positive regulation of sprouting angiogenesis	2
positive regulation of protein localization to cell periphery	2
positive regulation of cation channel activity	2
cellular defense response	2
primary alcohol metabolic process	2
positive chemotaxis	2
maternal process involved in female pregnancy	2
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	2
regulation of potassium ion transmembrane transporter activity	2
