Biological Process	Number of genes
RNA destabilization	3
centrosome localization	3
negative regulation of gene silencing	3
cellular response to growth hormone stimulus	3
bone growth	3
negative regulation of protein localization to cell periphery	3
regulation of AMPA receptor activity	3
glucan catabolic process	3
negative regulation of fatty acid metabolic process	3
pharyngeal system development	3
renal system vasculature development	3
kidney vasculature development	3
ionotropic glutamate receptor signaling pathway	3
viral RNA genome replication	3
cellular polysaccharide catabolic process	3
negative regulation of muscle contraction	3
microtubule organizing center localization	3
metanephric nephron morphogenesis	3
positive regulation of ATP biosynthetic process	3
substrate-dependent cell migration	3
positive regulation of protein autophosphorylation	3
positive regulation of skeletal muscle tissue development	3
collateral sprouting	3
regulation of glial cell proliferation	3
protein localization to chromosome, telomeric region	3
metanephric epithelium development	3
regulation of neuroblast proliferation	3
mitochondrial genome maintenance	3
polysaccharide catabolic process	3
energy coupled proton transport, down electrochemical gradient	3
ATP synthesis coupled proton transport	3
regulation of cGMP metabolic process	3
protein transport within lipid bilayer	3
regulation of B cell differentiation	3
regulation of transforming growth factor beta production	3
nucleotide-excision repair, preincision complex assembly	3
central nervous system neuron axonogenesis	3
regulation of mast cell activation involved in immune response	3
regulation of mast cell degranulation	3
positive regulation of synaptic transmission, glutamatergic	3
potassium ion homeostasis	3
transforming growth factor beta production	3
bile acid and bile salt transport	3
negative regulation of interferon-gamma production	3
positive regulation of phosphatidylinositol 3-kinase activity	3
regulation of viral entry into host cell	3
regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	3
positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	3
quinone metabolic process	3
axis elongation	3
protein ADP-ribosylation	3
nucleoside catabolic process	3
positive regulation of protein import into nucleus	3
positive regulation of smoothened signaling pathway	3
positive regulation of amine transport	3
protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	3
cristae formation	3
eye photoreceptor cell development	3
GTP metabolic process	3
positive regulation of ATP metabolic process	3
metanephros morphogenesis	3
positive regulation of glucose metabolic process	3
negative regulation of microtubule polymerization or depolymerization	3
negative regulation of intracellular steroid hormone receptor signaling pathway	3
regulation of vascular permeability	3
pyrimidine ribonucleoside metabolic process	3
pigment cell differentiation	3
placenta blood vessel development	3
cellular response to alkaloid	3
positive regulation of cell migration involved in sprouting angiogenesis	3
positive regulation of lipid kinase activity	3
receptor localization to synapse	3
positive regulation of morphogenesis of an epithelium	3
T cell cytokine production	3
mucosal immune response	3
regulation of gluconeogenesis	3
intra-Golgi vesicle-mediated transport	3
peptidyl-glutamic acid modification	3
positive regulation of viral genome replication	3
macrophage chemotaxis	3
positive regulation of dendrite morphogenesis	3
macrophage derived foam cell differentiation	3
negative regulation of axon extension	3
spleen development	3
skeletal muscle fiber development	3
'de novo' posttranslational protein folding	3
vitamin transport	3
foam cell differentiation	3
positive regulation of stem cell proliferation	3
organ or tissue specific immune response	3
positive regulation of cytokine production involved in immune response	3
one-carbon metabolic process	3
mating	3
protein localization to synapse	3
positive regulation of cardiac muscle cell proliferation	3
regulation of mitotic spindle organization	3
response to growth hormone	3
autophagosome maturation	3
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3
negative regulation of cell-matrix adhesion	3
acrosome reaction	3
nucleotide-sugar metabolic process	3
cellular response to glucose starvation	3
sodium-independent organic anion transport	3
lung alveolus development	3
positive regulation of response to endoplasmic reticulum stress	3
myotube cell development	3
negative regulation of mitotic sister chromatid segregation	3
hippo signaling	3
dopamine metabolic process	3
mRNA stabilization	3
regulation of mononuclear cell migration	3
negative regulation of intracellular protein transport	3
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	3
toxin transport	3
binding of sperm to zona pellucida	3
regulation of centrosome duplication	3
oligodendrocyte development	3
regulation of mast cell activation	3
cellular response to glucagon stimulus	3
regulation of spindle organization	3
glycosyl compound catabolic process	3
nuclear-transcribed mRNA poly(A) tail shortening	3
negative regulation of sister chromatid segregation	3
nucleoside bisphosphate metabolic process	3
ribonucleoside bisphosphate metabolic process	3
purine nucleoside bisphosphate metabolic process	3
ketone biosynthetic process	3
neuron maturation	3
regulation of digestive system process	3
phenol-containing compound biosynthetic process	3
negative regulation of G0 to G1 transition	3
positive regulation of cyclin-dependent protein kinase activity	3
hindbrain morphogenesis	3
positive regulation of viral transcription	3
negative regulation of chromosome segregation	3
positive regulation of dendritic spine development	3
mitochondrial RNA metabolic process	3
dopamine transport	3
positive regulation of B cell proliferation	3
regulation of protein autophosphorylation	3
photoreceptor cell development	3
RNA stabilization	3
regulation of glutamate receptor signaling pathway	3
protein destabilization	3
regulation of leukocyte degranulation	3
ER-nucleus signaling pathway	3
regulation of microtubule polymerization	3
oocyte development	3
interleukin-1 beta secretion	3
cofactor transport	3
regulation of G0 to G1 transition	3
beta-catenin-TCF complex assembly	3
mast cell activation involved in immune response	3
regulation of myeloid leukocyte mediated immunity	3
mast cell degranulation	3
regulation of phosphatidylinositol 3-kinase activity	3
developmental pigmentation	3
positive regulation of cardiac muscle tissue growth	3
response to bronchodilator	3
bile acid metabolic process	3
histone ubiquitination	3
negative regulation of epithelial cell differentiation	3
p38MAPK cascade	3
G0 to G1 transition	3
positive regulation of protein tyrosine kinase activity	3
mast cell mediated immunity	3
cerebellar cortex development	3
interleukin-12-mediated signaling pathway	3
cellular response to interleukin-12	3
regulation of neurotransmitter receptor activity	3
negative regulation of chromatin organization	3
pyrimidine nucleoside metabolic process	3
negative regulation of mitotic nuclear division	3
retina morphogenesis in camera-type eye	3
cellular response to virus	3
oocyte differentiation	3
body morphogenesis	3
prostate gland development	3
positive regulation of heart growth	3
response to interleukin-12	3
membrane depolarization during action potential	3
regulation of substrate adhesion-dependent cell spreading	3
regulation of sodium ion transmembrane transporter activity	3
embryo implantation	3
cortical cytoskeleton organization	3
regulation of protein import into nucleus	3
regulation of myoblast differentiation	3
histone H3-K4 methylation	3
cellular response to nerve growth factor stimulus	3
negative regulation of blood coagulation	3
response to glucagon	3
response to cocaine	3
interleukin-1 secretion	3
dendritic spine morphogenesis	3
negative regulation of hemostasis	3
regulation of lipid catabolic process	3
regulation of T cell mediated immunity	3
maturation of SSU-rRNA	3
negative regulation of DNA binding	3
regulation of lipid kinase activity	3
regulation of action potential	3
response to nerve growth factor	3
lipopolysaccharide-mediated signaling pathway	3
sperm-egg recognition	3
regulation of focal adhesion assembly	3
regulation of cardiac muscle cell proliferation	3
regulation of cell-substrate junction assembly	3
positive regulation of wound healing	3
negative regulation of T cell proliferation	3
regulation of centrosome cycle	3
regulation of neurotransmitter secretion	3
negative regulation of muscle cell differentiation	3
cell differentiation involved in kidney development	3
negative regulation of reactive oxygen species metabolic process	3
endosome to lysosome transport	3
response to zinc ion	3
neuron projection regeneration	3
negative regulation of coagulation	3
killing of cells of other organism	3
positive regulation of cytokine biosynthetic process	3
disruption of cells of other organism	3
mast cell activation	3
regulation of adherens junction organization	3
spliceosomal complex assembly	3
columnar/cuboidal epithelial cell development	3
regulation of interleukin-1 beta production	3
regulation of nitric oxide biosynthetic process	3
negative regulation of nuclear division	3
positive regulation of sprouting angiogenesis	3
regulation of cardiocyte differentiation	3
regulation of leukocyte mediated cytotoxicity	3
negative regulation of cytokine secretion	3
maternal process involved in female pregnancy	3
regulation of potassium ion transmembrane transporter activity	3
regulation of sodium ion transmembrane transport	3
cytoplasmic pattern recognition receptor signaling pathway	3
acidic amino acid transport	3
histone H3 acetylation	3
regulation of tumor necrosis factor-mediated signaling pathway	3
cellular response to nutrient	3
glomerulus development	3
transcription by RNA polymerase I	3
long-chain fatty acid transport	3
positive regulation of interferon-gamma production	3
negative regulation of axonogenesis	3
lamellipodium assembly	3
tissue regeneration	3
alpha-amino acid biosynthetic process	3
ovulation cycle	3
regulation of viral transcription	3
cardiac muscle cell proliferation	3
positive regulation of response to wounding	3
regulation of smooth muscle contraction	3
regulation of mitotic sister chromatid segregation	3
T cell differentiation in thymus	3
membrane protein proteolysis	3
protein monoubiquitination	3
regulation of glucose import	3
regulation of glycolytic process	3
regulation of multicellular organism growth	3
positive regulation of tyrosine phosphorylation of STAT protein	3
positive regulation of synapse assembly	3
negative regulation of ERK1 and ERK2 cascade	3
glycolipid biosynthetic process	3
regulation of defense response to virus	3
regulation of dendritic spine development	3
positive regulation of phosphatidylinositol 3-kinase signaling	3
positive regulation of striated muscle cell differentiation	3
regulation of cardiac muscle tissue growth	3
carbohydrate derivative transport	3
snRNA transcription	3
transmission of nerve impulse	3
snRNA transcription by RNA polymerase II	3
negative regulation of ossification	3
regulation of nucleotide catabolic process	3
regulation of cell killing	3
cardiac muscle cell action potential	3
cellular senescence	3
regulation of interleukin-1 production	3
cell-substrate adherens junction assembly	3
CD4-positive, alpha-beta T cell activation	3
focal adhesion assembly	3
ubiquitin-dependent ERAD pathway	3
regulation of carbohydrate catabolic process	3
regulation of heart growth	3
positive regulation of lipid localization	3
regulation of ATP biosynthetic process	3
glycogen metabolic process	3
cellular aldehyde metabolic process	3
regulation of sister chromatid segregation	3
regulation of epithelial cell apoptotic process	3
cellular glucan metabolic process	3
regulation of tyrosine phosphorylation of STAT protein	3
negative regulation of blood vessel endothelial cell migration	3
glucan metabolic process	3
regulation of protein tyrosine kinase activity	3
regulation of glucose transmembrane transport	3
regulation of carbohydrate biosynthetic process	3
flagellated sperm motility	3
regulation of transcription from RNA polymerase II promoter in response to hypoxia	3
positive regulation of response to DNA damage stimulus	3
tyrosine phosphorylation of STAT protein	3
positive regulation of JAK-STAT cascade	3
cellular amino acid biosynthetic process	3
positive regulation of exocytosis	3
lamellipodium organization	3
regulation of potassium ion transmembrane transport	3
smooth muscle cell migration	3
retrograde transport, endosome to Golgi	3
sperm motility	3
positive regulation of STAT cascade	3
extrinsic apoptotic signaling pathway via death domain receptors	3
regulation of muscle cell apoptotic process	3
autophagy of mitochondrion	3
leukocyte homeostasis	3
mitochondrion disassembly	3
execution phase of apoptosis	3
regulation of sodium ion transport	3
positive regulation of smooth muscle cell proliferation	3
ceramide metabolic process	3
muscle cell apoptotic process	3
positive regulation of protein binding	3
iron ion homeostasis	3
mitochondrial translational elongation	3
regulation of coenzyme metabolic process	3
regulation of BMP signaling pathway	3
type I interferon signaling pathway	3
mitochondrial translational termination	3
cellular response to type I interferon	3
regulation of systemic arterial blood pressure	3
response to vitamin	3
regulation of neurotransmitter transport	3
regulation of ATP metabolic process	3
SRP-dependent cotranslational protein targeting to membrane	3
positive regulation of plasma membrane bounded cell projection assembly	3
cellular response to hydrogen peroxide	3
negative regulation of endothelial cell migration	3
response to type I interferon	3
ERAD pathway	3
cardiac muscle tissue growth	3
regulation of cellular pH	3
cotranslational protein targeting to membrane	3
negative regulation of developmental growth	3
protein deacetylation	3
snRNA metabolic process	3
cellular polysaccharide metabolic process	3
regulation of DNA repair	3
fatty acid oxidation	3
regulation of chromosome segregation	3
regulation of potassium ion transport	3
protein targeting to ER	3
ncRNA transcription	3
translational termination	3
regulation of pH	3
lipid oxidation	3
phosphatidylinositol phosphorylation	3
organelle disassembly	3
regulation of cell-matrix adhesion	3
regulation of lipid transport	3
negative regulation of cell cycle G2/M phase transition	3
transition metal ion transport	3
polysaccharide metabolic process	3
negative regulation of epithelial cell migration	3
cellular monovalent inorganic cation homeostasis	3
regulation of osteoblast differentiation	3
lipid phosphorylation	3
cellular transition metal ion homeostasis	3
alpha-beta T cell activation	3
regulation of RNA splicing	3
regulation of DNA replication	3
regulation of generation of precursor metabolites and energy	3
regulation of type I interferon production	3
insulin receptor signaling pathway	3
type I interferon production	3
glycolipid metabolic process	3
cellular amine metabolic process	3
liposaccharide metabolic process	3
regulation of T cell differentiation	3
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	3
mitochondrial translation	3
positive regulation of endocytosis	3
sister chromatid cohesion	3
amine metabolic process	3
spermatid development	3
negative regulation of protein serine/threonine kinase activity	3
actin filament bundle assembly	3
actin filament bundle organization	3
DNA-dependent DNA replication	3
regulation of endothelial cell proliferation	3
cellular respiration	3
cranial nerve structural organization	3
positive regulation of T cell chemotaxis	3
regulation of T cell chemotaxis	3
anatomical structure arrangement	3
positive regulation of lymphocyte chemotaxis	3
positive regulation of oxidative stress-induced cell death	3
positive regulation of cellular response to oxidative stress	3
positive regulation of response to oxidative stress	3
hypothalamus development	3
regulation of lymphocyte chemotaxis	3
T cell chemotaxis	3
positive regulation of T cell migration	3
lens fiber cell differentiation	3
positive regulation of lymphocyte migration	3
regulation of T cell migration	3
bone cell development	3
heart valve morphogenesis	3
heart valve development	3
regulation of B cell mediated immunity	3
regulation of immunoglobulin mediated immune response	3
negative regulation of tumor necrosis factor production	3
immunoglobulin production involved in immunoglobulin mediated immune response	3
negative regulation of tumor necrosis factor superfamily cytokine production	3
regulation of lymphocyte migration	3
interstrand cross-link repair	3
T cell migration	3
lymphocyte chemotaxis	3
ribosome assembly	3
ribosomal large subunit biogenesis	3
positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	3
positive regulation of lymphocyte mediated immunity	3
positive regulation of adaptive immune response	3
bone remodeling	3
lymphocyte migration	3
positive regulation of leukocyte mediated immunity	3
neuropeptide signaling pathway	3
cell wall macromolecule metabolic process	3
cell wall organization or biogenesis	3
B cell activation involved in immune response	3
double-strand break repair via homologous recombination	3
recombinational repair	3
neural plate development	2
negative regulation of myeloid leukocyte mediated immunity	2
desmosome organization	2
membranous septum morphogenesis	2
response to sterol depletion	2
receptor guanylyl cyclase signaling pathway	2
foregut morphogenesis	2
ADP transport	2
skeletal muscle thin filament assembly	2
negative regulation of cell adhesion mediated by integrin	2
cortisol metabolic process	2
retinal cone cell differentiation	2
drinking behavior	2
snoRNA processing	2
negative regulation of striated muscle contraction	2
retinal cone cell development	2
negative regulation of fibrinolysis	2
alditol phosphate metabolic process	2
regulation of oocyte development	2
epithelial cell proliferation involved in lung morphogenesis	2
negative regulation of necroptotic process	2
cardiac muscle cell fate commitment	2
lung secretory cell differentiation	2
caveolin-mediated endocytosis	2
SA node cell to atrial cardiac muscle cell communication	2
macromolecule depalmitoylation	2
regulation of interferon-gamma secretion	2
regulation of oogenesis	2
cellular response to leucine starvation	2
regulation of T-helper 2 cell cytokine production	2
regulation of platelet-derived growth factor receptor-beta signaling pathway	2
negative regulation of mesenchymal cell apoptotic process	2
endocardium development	2
UDP-N-acetylglucosamine biosynthetic process	2
aspartate metabolic process	2
androgen biosynthetic process	2
carnitine shuttle	2
nucleoside monophosphate catabolic process	2
negative regulation of fibroblast migration	2
ATP transport	2
synaptic vesicle maturation	2
neuron remodeling	2
L-ascorbic acid metabolic process	2
negative regulation of mast cell activation	2
regulation of hippo signaling	2
positive regulation of tumor necrosis factor biosynthetic process	2
positive regulation of vascular permeability	2
negative regulation of leukocyte degranulation	2
adhesion of symbiont to host cell	2
response to ether	2
negative regulation of natural killer cell mediated cytotoxicity	2
AMP metabolic process	2
cellular ketone body metabolic process	2
enteric nervous system development	2
regulation of nuclear-transcribed mRNA poly(A) tail shortening	2
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	2
cardiac muscle cell myoblast differentiation	2
bronchus development	2
prostate glandular acinus development	2
epithelial cell proliferation involved in prostate gland development	2
cardiac neural crest cell differentiation involved in heart development	2
cardiac neural crest cell development involved in heart development	2
metanephric tubule morphogenesis	2
microtubule anchoring at microtubule organizing center	2
negative regulation of inclusion body assembly	2
negative regulation of anion transmembrane transport	2
regulation of GTP binding	2
positive regulation of gonad development	2
embryonic brain development	2
positive regulation of acrosome reaction	2
urea cycle	2
complement activation, lectin pathway	2
negative regulation of natural killer cell mediated immunity	2
mitochondrial DNA replication	2
intracellular mRNA localization	2
positive regulation of macrophage chemotaxis	2
positive regulation of fibroblast migration	2
negative regulation of centrosome duplication	2
regulation of skeletal muscle satellite cell proliferation	2
cGMP-mediated signaling	2
regulation of vitamin metabolic process	2
detection of molecule of bacterial origin	2
peptidyl-arginine N-methylation	2
histone-serine phosphorylation	2
positive regulation of collateral sprouting	2
positive regulation of digestive system process	2
epithelial cell differentiation involved in prostate gland development	2
embryonic camera-type eye formation	2
mitochondrial tRNA processing	2
type B pancreatic cell apoptotic process	2
pre-mRNA cleavage required for polyadenylation	2
neurotransmitter receptor internalization	2
positive regulation of execution phase of apoptosis	2
ketone body metabolic process	2
positive regulation of fertilization	2
positive regulation of gastrulation	2
negative regulation of sodium ion transmembrane transporter activity	2
regulation of mesenchymal cell apoptotic process	2
meiotic spindle organization	2
cellular response to nitrogen starvation	2
insemination	2
carnitine metabolic process	2
response to light intensity	2
skeletal muscle satellite cell proliferation	2
regulation of skeletal muscle cell proliferation	2
detection of bacterium	2
toll-like receptor 2 signaling pathway	2
T-helper 2 cell cytokine production	2
platelet-derived growth factor receptor-beta signaling pathway	2
positive regulation of renal sodium excretion	2
cellular response to nitrogen levels	2
positive regulation by host of viral process	2
amino sugar biosynthetic process	2
white fat cell differentiation	2
chloride ion homeostasis	2
fatty acid homeostasis	2
nucleotide-binding oligomerization domain containing 2 signaling pathway	2
tRNA threonylcarbamoyladenosine metabolic process	2
mesenchymal cell apoptotic process	2
negative regulation of sodium ion transmembrane transport	2
protein localization to postsynaptic membrane	2
cardiac left ventricle morphogenesis	2
regulation of hydrogen peroxide metabolic process	2
skeletal muscle cell proliferation	2
snoRNA metabolic process	2
hemoglobin metabolic process	2
thalamus development	2
pre-miRNA processing	2
response to potassium ion	2
lipoprotein catabolic process	2
hormone catabolic process	2
erythrocyte maturation	2
negative regulation of DNA damage response, signal transduction by p53 class mediator	2
regulation of translational initiation in response to stress	2
adhesion of symbiont to host	2
negative regulation of centrosome cycle	2
adenine nucleotide transport	2
regulation of fibrinolysis	2
negative regulation of glial cell proliferation	2
regulation of respiratory burst	2
negative regulation of necrotic cell death	2
glomerular mesangium development	2
detection of other organism	2
positive regulation of ERAD pathway	2
trophectodermal cell differentiation	2
negative regulation of leukocyte mediated cytotoxicity	2
G-protein coupled receptor internalization	2
growth plate cartilage development	2
tRNA splicing, via endonucleolytic cleavage and ligation	2
detoxification of copper ion	2
negative regulation of sodium ion transport	2
purine ribonucleotide transport	2
positive regulation of icosanoid secretion	2
glucocorticoid receptor signaling pathway	2
regulation of interleukin-6 biosynthetic process	2
aldehyde biosynthetic process	2
detection of temperature stimulus involved in sensory perception	2
detection of temperature stimulus involved in sensory perception of pain	2
oxidative demethylation	2
otic vesicle development	2
metanephric mesenchyme development	2
sodium ion import across plasma membrane	2
stress response to copper ion	2
negative regulation of stem cell proliferation	2
mitochondrial RNA processing	2
renal system process involved in regulation of blood volume	2
epithelial to mesenchymal transition involved in endocardial cushion formation	2
UDP-N-acetylglucosamine metabolic process	2
mitotic chromosome condensation	2
chemosensory behavior	2
positive regulation of striated muscle cell apoptotic process	2
positive regulation of cardiac muscle cell apoptotic process	2
positive regulation of macrophage derived foam cell differentiation	2
purine nucleotide transport	2
RNA interference	2
peptidyl-arginine methylation	2
Cdc42 protein signal transduction	2
megakaryocyte development	2
negative regulation of fatty acid biosynthetic process	2
regulation of developmental pigmentation	2
neuromuscular process controlling posture	2
detection of light stimulus involved in visual perception	2
detection of light stimulus involved in sensory perception	2
sulfation	2
renal absorption	2
metanephric glomerulus development	2
histone H3-K4 trimethylation	2
epithelial cell-cell adhesion	2
positive regulation of fatty acid transport	2
regulation of clathrin-dependent endocytosis	2
negative regulation of T cell mediated immunity	2
N-acetylglucosamine metabolic process	2
amino-acid betaine metabolic process	2
dorsal/ventral axis specification	2
negative regulation of platelet-derived growth factor receptor signaling pathway	2
preassembly of GPI anchor in ER membrane	2
central nervous system myelination	2
corticosteroid receptor signaling pathway	2
axon ensheathment in central nervous system	2
regulation of icosanoid secretion	2
negative regulation of organic acid transport	2
histone H2A monoubiquitination	2
interleukin-6 biosynthetic process	2
melanin biosynthetic process	2
progesterone metabolic process	2
linoleic acid metabolic process	2
positive regulation by host of viral transcription	2
positive regulation of alpha-beta T cell proliferation	2
negative regulation of digestive system process	2
detoxification of inorganic compound	2
interferon-gamma secretion	2
stress response to metal ion	2
positive regulation of long-term synaptic potentiation	2
glycerol metabolic process	2
cAMP catabolic process	2
pyrimidine nucleobase metabolic process	2
melanin metabolic process	2
glutamine family amino acid biosynthetic process	2
glycoside metabolic process	2
maintenance of gastrointestinal epithelium	2
negative regulation of cell killing	2
mitochondrial DNA metabolic process	2
CD4-positive, alpha-beta T cell cytokine production	2
regulation of translation in response to stress	2
type B pancreatic cell proliferation	2
mammary gland epithelial cell differentiation	2
positive regulation of dendritic spine morphogenesis	2
transepithelial transport	2
type B pancreatic cell development	2
mating behavior	2
copulation	2
detection of temperature stimulus	2
signal transduction involved in regulation of gene expression	2
platelet formation	2
negative regulation of chondrocyte differentiation	2
positive regulation of chondrocyte differentiation	2
toll-like receptor 3 signaling pathway	2
tumor necrosis factor biosynthetic process	2
regulation of tumor necrosis factor biosynthetic process	2
mRNA transcription by RNA polymerase II	2
mRNA cis splicing, via spliceosome	2
negative regulation of viral entry into host cell	2
mammary gland alveolus development	2
mammary gland lobule development	2
renal vesicle morphogenesis	2
detection of external biotic stimulus	2
regulation of mitotic spindle assembly	2
negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	2
regulation of tumor necrosis factor secretion	2
negative regulation of morphogenesis of an epithelium	2
regulation of gonad development	2
cartilage condensation	2
dolichol-linked oligosaccharide biosynthetic process	2
inflammatory cell apoptotic process	2
protein O-linked glycosylation via threonine	2
positive regulation of toll-like receptor signaling pathway	2
renal sodium excretion	2
regulation of renal sodium excretion	2
platelet morphogenesis	2
regulation of acrosome reaction	2
mesenchymal to epithelial transition	2
regulation of necroptotic process	2
intestinal epithelial cell differentiation	2
branch elongation of an epithelium	2
cellular response to vitamin D	2
renal vesicle development	2
metanephric nephron tubule development	2
tumor necrosis factor secretion	2
negative regulation of CD4-positive, alpha-beta T cell activation	2
negative regulation of stem cell differentiation	2
acute inflammatory response to antigenic stimulus	2
endocardial cushion formation	2
oligosaccharide-lipid intermediate biosynthetic process	2
protein targeting to lysosome	2
spermatid nucleus differentiation	2
cyclic nucleotide catabolic process	2
protein O-linked glycosylation via serine	2
alditol metabolic process	2
positive regulation of cGMP metabolic process	2
regulation of chromatin silencing	2
regulation of interleukin-13 production	2
tongue development	2
positive regulation of cAMP-mediated signaling	2
GMP metabolic process	2
regulation of alpha-beta T cell proliferation	2
regulation of collateral sprouting	2
sensory perception of temperature stimulus	2
uterus development	2
labyrinthine layer morphogenesis	2
establishment of skin barrier	2
cell aggregation	2
negative regulation of regulated secretory pathway	2
regulation of cell maturation	2
negative regulation of transcription regulatory region DNA binding	2
regulation of sister chromatid cohesion	2
cobalamin metabolic process	2
detection of biotic stimulus	2
positive regulation of G2/M transition of mitotic cell cycle	2
cerebral cortex neuron differentiation	2
positive regulation of interleukin-4 production	2
folic acid metabolic process	2
smooth muscle tissue development	2
negative regulation of lipid catabolic process	2
positive regulation of transcription initiation from RNA polymerase II promoter	2
branching involved in salivary gland morphogenesis	2
cellular response to zinc ion	2
cellular response to pH	2
negative regulation of cardiocyte differentiation	2
regulation of endothelial cell chemotaxis	2
regulation of T cell cytokine production	2
cell volume homeostasis	2
negative regulation of microtubule depolymerization	2
sex determination	2
L-glutamate transmembrane transport	2
dorsal/ventral neural tube patterning	2
central nervous system projection neuron axonogenesis	2
melanosome transport	2
cytokinetic process	2
interleukin-13 production	2
regulation of water loss via skin	2
regulation of excretion	2
motile cilium assembly	2
mitochondrial calcium ion homeostasis	2
response to hyperoxia	2
negative regulation of cell cycle arrest	2
metanephric nephron epithelium development	2
membrane depolarization during cardiac muscle cell action potential	2
regulation of oxidative stress-induced neuron death	2
cellular response to angiotensin	2
oocyte maturation	2
B cell apoptotic process	2
glandular epithelial cell development	2
innate immune response in mucosa	2
negative regulation of cytokine production involved in immune response	2
renal system process involved in regulation of systemic arterial blood pressure	2
type B pancreatic cell differentiation	2
DNA ligation	2
mitochondrial calcium ion transmembrane transport	2
toxin metabolic process	2
regulation of platelet-derived growth factor receptor signaling pathway	2
positive regulation of collagen metabolic process	2
positive regulation of neurological system process	2
establishment of melanosome localization	2
positive regulation of collagen biosynthetic process	2
negative regulation of myoblast differentiation	2
positive regulation of osteoclast differentiation	2
negative regulation of glial cell differentiation	2
alpha-beta T cell proliferation	2
pigment granule transport	2
establishment of protein localization to chromosome	2
negative regulation of anion transport	2
regulation of anion transmembrane transport	2
microglial cell activation	2
positive regulation of defense response to virus by host	2
outflow tract septum morphogenesis	2
C21-steroid hormone biosynthetic process	2
gamma-aminobutyric acid signaling pathway	2
mRNA transcription	2
epithelial structure maintenance	2
histone H2A ubiquitination	2
microtubule anchoring	2
exploration behavior	2
skeletal muscle adaptation	2
establishment of pigment granule localization	2
monovalent inorganic anion homeostasis	2
innervation	2
embryonic placenta morphogenesis	2
negative regulation of cartilage development	2
cellular response to copper ion	2
regulation of spindle assembly	2
negative regulation of potassium ion transmembrane transporter activity	2
glucosamine-containing compound metabolic process	2
endochondral ossification	2
startle response	2
response to amphetamine	2
steroid catabolic process	2
peptidyl-arginine modification	2
positive regulation of blood coagulation	2
positive regulation of microtubule polymerization	2
plasminogen activation	2
melanosome localization	2
enteroendocrine cell differentiation	2
replacement ossification	2
regulation of long-term neuronal synaptic plasticity	2
eosinophil chemotaxis	2
positive regulation of mRNA processing	2
cell differentiation involved in embryonic placenta development	2
prostate gland epithelium morphogenesis	2
regulation of androgen receptor signaling pathway	2
cell differentiation involved in metanephros development	2
positive regulation of hemostasis	2
positive regulation of cell cycle G2/M phase transition	2
response to angiotensin	2
regulation of the force of heart contraction	2
adult walking behavior	2
entrainment of circadian clock	2
regulation of microtubule depolymerization	2
regulation of interleukin-4 production	2
protein refolding	2
fibrinolysis	2
modulation by host of viral transcription	2
negative regulation of heart contraction	2
positive regulation of coagulation	2
pigment granule localization	2
modulation by host of symbiont transcription	2
protein localization to centrosome	2
regulation of stem cell population maintenance	2
negative regulation of dendrite development	2
positive regulation of response to drug	2
gastrulation with mouth forming second	2
cerebral cortex radially oriented cell migration	2
regulation of myeloid cell apoptotic process	2
mammary gland epithelial cell proliferation	2
negative regulation of alpha-beta T cell activation	2
modulation of transcription in other organism involved in symbiotic interaction	2
prostate gland morphogenesis	2
regulation of fertilization	2
walking behavior	2
negative regulation of potassium ion transmembrane transport	2
negative regulation of reactive oxygen species biosynthetic process	2
regulation of ERAD pathway	2
protein localization to microtubule organizing center	2
histone monoubiquitination	2
regulation of macrophage derived foam cell differentiation	2
dopamine secretion	2
regulation of dopamine secretion	2
keratan sulfate biosynthetic process	2
positive regulation of microtubule polymerization or depolymerization	2
positive regulation of organic acid transport	2
embryonic hindlimb morphogenesis	2
endothelial cell chemotaxis	2
regulation of regulatory T cell differentiation	2
negative regulation of exocytosis	2
chaperone cofactor-dependent protein refolding	2
regulation of transcription initiation from RNA polymerase II promoter	2
protein kinase C signaling	2
regulation of neuron projection regeneration	2
cellular response to vitamin	2
positive regulation of DNA-templated transcription, initiation	2
negative regulation of signaling receptor activity	2
positive regulation of CD4-positive, alpha-beta T cell activation	2
response to superoxide	2
regulation of type 2 immune response	2
transcription elongation from RNA polymerase I promoter	2
glutamine family amino acid catabolic process	2
negative regulation of epithelial to mesenchymal transition	2
regulation of necrotic cell death	2
cerebellar cortex morphogenesis	2
positive regulation of interleukin-10 production	2
response to increased oxygen levels	2
regulation of DNA damage response, signal transduction by p53 class mediator	2
positive regulation of G-protein coupled receptor protein signaling pathway	2
erythrocyte development	2
homeostasis of number of cells within a tissue	2
positive regulation of filopodium assembly	2
positive regulation of cartilage development	2
eosinophil migration	2
folic acid-containing compound metabolic process	2
regulation of keratinocyte proliferation	2
astrocyte development	2
positive regulation of RNA splicing	2
toll-like receptor 4 signaling pathway	2
